Date,Open,High,Low,Close
2021-09-08T10:05:00+0530,435,441.75,428.35,430.75
2021-09-08T10:06:00+0530,430.75,437.1,427.85,432.7
2021-09-08T10:07:00+0530,432.55,432.55,420.5,421.4
2021-09-08T10:08:00+0530,421.4,439.2,418,437
2021-09-08T10:09:00+0530,437,439.55,422.3,422.3
2021-09-08T10:10:00+0530,420.05,427.25,413.8,418.8
2021-09-08T10:11:00+0530,419.2,428,416.85,428
2021-09-08T10:12:00+0530,430,434.6,422.75,433.4
2021-09-08T10:13:00+0530,433.4,441.15,432.45,434.1
2021-09-08T10:14:00+0530,434.1,436,425,428.75
2021-09-08T10:15:00+0530,428.75,443.95,428.75,441.55
2021-09-08T10:16:00+0530,441.55,445,431.15,435
2021-09-08T10:17:00+0530,435,443,433.55,433.55
2021-09-08T10:18:00+0530,433.55,440.45,433.35,437
2021-09-08T10:19:00+0530,437,437.85,433.55,433.55
2021-09-08T10:20:00+0530,432,434.15,430,430
2021-09-08T10:21:00+0530,430,440.2,430,434.5
2021-09-08T10:22:00+0530,438.85,448.9,434.5,447.8
2021-09-08T10:23:00+0530,447.8,461.4,445.65,458
2021-09-08T10:24:00+0530,458,463.05,450.9,460
2021-09-08T10:25:00+0530,460,463.35,454.25,454.25
2021-09-08T10:26:00+0530,452.9,467.5,450.3,467.5
2021-09-08T10:27:00+0530,465.85,468.85,462.1,462.1
2021-09-08T10:28:00+0530,462.1,474.7,462.1,472.05
2021-09-08T10:29:00+0530,472.05,478.25,470.85,470.85
2021-09-08T10:30:00+0530,470.6,470.6,455.05,456.6
2021-09-08T10:31:00+0530,456.6,456.6,444.25,452.55
2021-09-08T10:32:00+0530,452.55,454.95,444.5,450.2
2021-09-08T10:33:00+0530,450.2,462.95,450.2,462.95
2021-09-08T10:34:00+0530,462.95,469.05,458.65,460
2021-09-08T10:35:00+0530,460,469.85,459.75,469.85
2021-09-08T10:36:00+0530,469.85,475.15,468,475.15
2021-09-08T10:37:00+0530,475.15,475.15,465.75,474.05
2021-09-08T10:38:00+0530,475,479.1,472.75,473.6
2021-09-08T10:39:00+0530,473.6,476.85,470.35,474.8
2021-09-08T10:40:00+0530,474.8,480,466,466
2021-09-08T10:41:00+0530,466.4,470,462.85,466.7
2021-09-08T10:42:00+0530,466.7,470.95,463.45,465
2021-09-08T10:43:00+0530,465,509.95,462.65,507.25
2021-09-08T10:44:00+0530,507,529,505.05,519.35
2021-09-08T10:45:00+0530,517.5,524.2,507.95,513
2021-09-08T10:46:00+0530,513,522.9,511.7,522.4
2021-09-08T10:47:00+0530,520.05,523.2,509.25,515.2
2021-09-08T10:48:00+0530,515.2,526.7,515.05,518.1
2021-09-08T10:49:00+0530,514,516.7,505,505
2021-09-08T10:50:00+0530,505,505,495,502.05
2021-09-08T10:51:00+0530,502.05,504.9,490.85,500.95
2021-09-08T10:52:00+0530,501.7,505,497.8,500.6
2021-09-08T10:53:00+0530,500.6,511,499.1,511
2021-09-08T10:54:00+0530,511.5,518.05,507.95,518.05
2021-09-08T10:55:00+0530,518.05,520.3,510,517.55
2021-09-08T10:56:00+0530,517.55,520,513.7,514.5
2021-09-08T10:57:00+0530,514.5,516.65,504.05,505.55
2021-09-08T10:58:00+0530,505.55,508.75,500,500
2021-09-08T10:59:00+0530,500,502,496.7,500
2021-09-08T11:00:00+0530,500,510.05,495.05,507.65
2021-09-08T11:01:00+0530,507.65,508.35,503,504
2021-09-08T11:02:00+0530,504,508.35,496.65,508.35
2021-09-08T11:03:00+0530,508.35,509,502.95,507.75
2021-09-08T11:04:00+0530,507.75,515,504.15,511.35
2021-09-08T11:05:00+0530,511.35,517.5,510,517.45
